name,lat,lng,title,imageURL
東京都日野市,35.6655,139.3992,薄桜鬼 真改,https://animetourism88.com/wp-content/uploads/2023/12/Hakuoki_hino_sub.jpg
東京都東村山市,35.7579,139.4723,女子高生の無駄づかい,https://animetourism88.com/wp-content/uploads/2023/12/Web___.jpg
東京都福生市,35.7336,139.3369,GAMERA -Rebirth-,https://animetourism88.com/wp-content/uploads/2024/05/GAMERA-_Rebirth-_KV.jpg
東京都神津島村,34.2029,139.1365,ラブライブ！スーパースター!!,https://animetourism88.com/wp-content/uploads/2025/02/%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BCKV-s.jpg
神奈川県横浜市,35.4527,139.595,文豪ストレイドッグス,https://animetourism88.com/wp-content/uploads/2023/12/Bungo_main_re.jpg
神奈川県川崎市,35.5562,139.6423,ガールズバンドクライ,https://animetourism88.com/wp-content/uploads/2025/02/%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%E3%83%90%E3%83%B3%E3%83%89%E3%82%AF%E3%83%A9%E3%82%A4_%E5%8D%94%E4%BC%9A%E7%94%A8KV_%E6%96%87%E5%AD%97%E3%83%8A%E3%82%B7-scaled.jpg
神奈川県横須賀市,35.2601,139.6615,艦隊これくしょん －艦これ－,https://animetourism88.com/wp-content/uploads/2023/09/Kancolle_logo-1.png
神奈川県横須賀市,35.2601,139.6615,スローループ,https://animetourism88.com/wp-content/uploads/2023/12/Web_SLOWLOOP__S.jpg
神奈川県横須賀市,35.2601,139.6615,ハイスクール・フリート,https://animetourism88.com/wp-content/uploads/2023/12/H_F_main.jpg
神奈川県藤沢市,35.3628,139.4555,青春ブタ野郎はバニーガール先輩の夢を見ない,https://animetourism88.com/wp-content/uploads/2023/12/2.SBY_KV1_fix_re.jpg
神奈川県箱根町,35.2323,139.1069,『エヴァンゲリオン』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/78_KV___.jpg
神奈川県箱根町,35.2323,139.1069,弱虫ペダル,https://animetourism88.com/wp-content/uploads/2023/12/Web_YP_KV3.jpg
東京都,35.5092,139.7698,劇場版 ソードアート・オンライン -オーディナル・スケール-,https://animetourism88.com/wp-content/uploads/2023/09/iahk_1_T2_0716_r.jpg
東京都 都電荒川線早稲田駅近辺,35.7118,139.7189,『BanG Dream!』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/191128_BNDR3_KEY.jpg
東京都 高田馬場,35.7126,139.7039,ふれる。,https://animetourism88.com/wp-content/uploads/2025/02/%E3%81%B5%E3%82%8C%E3%82%8B_%E5%8D%94%E4%BC%9A%E7%94%A8KV-scaled.jpg
東京都千代田区,35.6868,139.7563,STEINS;GATE(シュタインズ・ゲート),https://animetourism88.com/wp-content/uploads/2023/09/Steinsgate_main.jpg
東京都千代田区,35.6868,139.7563,ラブライブ！,https://animetourism88.com/wp-content/uploads/2023/12/lovelive_key2023.jpg
東京都中央区,35.6713,139.7758,江戸前エルフ,https://animetourism88.com/wp-content/uploads/2024/05/34_%E5%A0%B4%E9%9D%A2%E5%86%99%E5%80%99%E8%A3%9C_%E3%82%82%E3%82%93%E3%81%98%E3%82%83%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%E3%82%B3%E3%83%A9%E3%83%9C%E7%89%88%E6%A8%A9.jpg
東京都港区台場,35.6305,139.7741,デジモンアドベンチャー,https://animetourism88.com/wp-content/uploads/2023/12/697711a5054cbf72afc46f07a936199f_re.jpg
東京都港区,35.6527,139.7453,ラブライブ！虹ヶ咲学園スクールアイドル同好会,https://animetourism88.com/wp-content/uploads/2023/12/lovelove_nigigaku2023main.jpg
東京都墨田区,35.7151,139.8155,リコリス・リコイル,https://animetourism88.com/wp-content/uploads/2023/12/Web_asa__2.jpg
東京都江東区豊洲,35.652,139.7887,アイドルマスター ミリオンライブ！,https://animetourism88.com/wp-content/uploads/2024/05/39_%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%AA%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%96.jpg
東京都江東区,35.6433,139.8096,ラブライブ！虹ヶ咲学園スクールアイドル同好会,https://animetourism88.com/wp-content/uploads/2023/12/re-4-3.jpg
